1983-12-22,1400
1983-12-23,1400
1983-12-24,1480
1983-12-26,1480
1983-12-27,1480
1983-12-28,1480
1984-01-04,1500
1984-01-05,1500
1984-01-06,1570
1984-01-07,1550
1984-01-09,1600
1984-01-10,1540
1984-01-11,1540
1984-01-12,1560
1984-01-13,1570
1984-01-17,1560
1984-01-18,1540
1984-01-19,1550
1984-01-20,1550
1984-01-21,1520
1984-01-23,1520
1984-01-24,1500
1984-01-25,1490
1984-01-26,1500
1984-01-27,1480
1984-01-28,1480
1984-01-30,1490
1984-01-31,1510
1984-02-01,1510
1984-02-02,1490
1984-02-03,1490
1984-02-04,1480
1984-02-06,1560
1984-02-07,1570
1984-02-08,1550
1984-02-09,1520
1984-02-10,1510
1984-02-13,1510
1984-02-14,1510
1984-02-15,1490
1984-02-16,1500
1984-02-17,1490
1984-02-18,1470
1984-02-20,1480
1984-02-21,1480
1984-02-22,1480
1984-02-23,1480
1984-02-24,1480
1984-02-25,1470
1984-02-27,1480
1984-02-28,1520
1984-02-29,1490
1984-03-01,1470
1984-03-02,1470
1984-03-03,1470
1984-03-05,1470
1984-03-06,1470
1984-03-07,1470
1984-03-08,1480
1984-03-09,1480
1984-03-12,1450
1984-03-13,1460
1984-03-14,1450
1984-03-15,1460
1984-03-16,1450
1984-03-17,1450
1984-03-19,1430
1984-03-21,1470
1984-03-22,1460
1984-03-23,1470
1984-03-24,1450
1984-03-26,1480
1984-03-27,1510
1984-03-28,1540
1984-03-29,1530
1984-03-30,1500
1984-03-31,1500
1984-04-02,1510
1984-04-03,1500
1984-04-04,1540
1984-04-05,1500
1984-04-06,1500
1984-04-07,1500
1984-04-09,1510
1984-04-10,1530
1984-04-11,1560
1984-04-12,1550
1984-04-13,1550
1984-04-16,1480
1984-04-17,1490
1984-04-18,1490
1984-04-19,1460
1984-04-20,1460
1984-04-21,1480
1984-04-23,1480
1984-04-24,1490
1984-04-25,1500
1984-04-26,1500
1984-04-27,1470
1984-04-28,1490
1984-05-01,1480
1984-05-02,1490
1984-05-04,1530
1984-05-07,1540
1984-05-08,1550
1984-05-09,1520
1984-05-10,1480
1984-05-11,1470
1984-05-14,1460
1984-05-15,1470
1984-05-16,1470
1984-05-17,1470
1984-05-18,1450
1984-05-19,1450
1984-05-21,1440
1984-05-22,1410
1984-05-23,1420
1984-05-24,1420
1984-05-25,1420
1984-05-26,1420
1984-05-28,1400
1984-05-29,1400
1984-05-30,1410
1984-05-31,1420
1984-06-01,1450
1984-06-02,1450
1984-06-04,1420
1984-06-05,1420
1984-06-06,1500
1984-06-07,1490
1984-06-08,1480
1984-06-11,1480
1984-06-12,1490
1984-06-13,1460
1984-06-14,1470
1984-06-15,1470
1984-06-16,1450
1984-06-18,1440
1984-06-19,1440
1984-06-20,1480
1984-06-21,1530
1984-06-22,1560
1984-06-23,1520
1984-06-25,1480
1984-06-26,1500
1984-06-27,1590
1984-06-28,1570
1984-06-29,1550
1984-06-30,1560
1984-07-02,1540
1984-07-03,1520
1984-07-04,1480
1984-07-05,1550
1984-07-06,1520
1984-07-07,1500
1984-07-09,1480
1984-07-10,1490
1984-07-11,1510
1984-07-12,1510
1984-07-13,1490
1984-07-16,1540
1984-07-17,1490
1984-07-18,1480
1984-07-19,1480
1984-07-20,1410
1984-07-21,1430
1984-07-23,1430
1984-07-24,1430
1984-07-25,1410
1984-07-26,1410
1984-07-27,1410
1984-07-28,1420
1984-07-30,1440
1984-07-31,1540
1984-08-01,1520
1984-08-02,1470
1984-08-03,1470
1984-08-04,1460
1984-08-06,1480
1984-08-07,1480
1984-08-08,1500
1984-08-09,1500
1984-08-10,1480
1984-08-13,1500
